Year,State,District,Crop,Area_ha,Irrigation_Days,Pump_Type,Water_L_per_ha_day,Efficiency,Total_Water_Used_L,Carbon_Emissions_kg,Solar_Used
2018,Punjab,Jalandhar,Cotton,10,151,Diesel,7000,1.0,10570000.0,28327.600000000002,0
2017,Haryana,Gurgaon,Maize,22,71,Solar,4000,0.6,3748800.0,0.0,1
2019,Haryana,Panipat,Mustard,33,130,Diesel,4500,1.0,19305000.0,51737.4,0
2019,Punjab,Bathinda,Wheat,12,80,Diesel,5000,1.0,4800000.0,12864.0,0
2018,Haryana,Panipat,Maize,36,168,Solar,4000,0.6,14515200.0,0.0,1
2019,Haryana,Hisar,Paddy,46,65,Electric,15000,0.8,35880000.0,53820.0,0
2020,Haryana,Rohtak,Cotton,47,80,Diesel,7000,1.0,26320000.0,70537.6,0
2021,Haryana,Rohtak,Paddy,37,102,Diesel,15000,1.0,56610000.0,151714.80000000002,0
2017,Punjab,Patiala,Sugarcane,42,164,Diesel,18000,1.0,123984000.0,332277.12,0
2020,Haryana,Karnal,Sugarcane,2,144,Diesel,18000,1.0,5184000.0,13893.12,0
2023,Punjab,Bathinda,Wheat,35,167,Diesel,5000,1.0,29225000.0,78323.0,0
2022,Punjab,Ludhiana,Wheat,36,107,Electric,5000,0.8,15408000.0,23112.0,0
2017,Punjab,Ludhiana,Sugarcane,45,71,Diesel,18000,1.0,57510000.0,154126.80000000002,0
2019,Punjab,Bathinda,Mustard,40,169,Diesel,4500,1.0,30420000.0,81525.6,0
2016,Punjab,Bathinda,Wheat,46,64,Diesel,5000,1.0,14720000.0,39449.600000000006,0
2018,Punjab,Patiala,Sugarcane,22,122,Diesel,18000,1.0,48312000.0,129476.16,0
2019,Punjab,Jalandhar,Wheat,39,114,Diesel,5000,1.0,22230000.0,59576.4,0
2018,Haryana,Gurgaon,Mustard,41,138,Diesel,4500,1.0,25461000.0,68235.48000000001,0
2016,Punjab,Ludhiana,Mustard,39,85,Electric,4500,0.8,11934000.0,17901.0,0
2019,Punjab,Amritsar,Mustard,31,76,Electric,4500,0.8,8481600.0,12722.400000000001,0
2020,Haryana,Rohtak,Paddy,26,169,Electric,15000,0.8,52728000.0,79092.0,0
2017,Punjab,Jalandhar,Maize,36,64,Electric,4000,0.8,7372800.0,11059.2,0
2016,Haryana,Rohtak,Cotton,42,77,Diesel,7000,1.0,22638000.0,60669.840000000004,0
2019,Haryana,Rohtak,Wheat,16,125,Solar,5000,0.6,6000000.0,0.0,1
2022,Haryana,Karnal,Mustard,49,91,Diesel,4500,1.0,20065500.0,53775.54,0
2021,Punjab,Bathinda,Wheat,3,133,Diesel,5000,1.0,1995000.0,5346.6,0
2019,Haryana,Hisar,Cotton,35,91,Diesel,7000,1.0,22295000.0,59750.600000000006,0
2017,Haryana,Rohtak,Wheat,39,173,Diesel,5000,1.0,33735000.0,90409.8,0
2022,Haryana,Gurgaon,Cotton,27,171,Solar,7000,0.6,19391400.0,0.0,1
2019,Punjab,Jalandhar,Sugarcane,49,61,Diesel,18000,1.0,53802000.0,144189.36000000002,0
2019,Punjab,Amritsar,Mustard,33,105,Diesel,4500,1.0,15592500.0,41787.9,0
2021,Punjab,Patiala,Maize,4,162,Electric,4000,0.8,2073600.0,3110.3999999999996,0
2016,Punjab,Bathinda,Wheat,15,83,Diesel,5000,1.0,6225000.0,16683.0,0
2017,Punjab,Amritsar,Maize,28,85,Solar,4000,0.6,5712000.0,0.0,1
2020,Punjab,Amritsar,Cotton,19,166,Diesel,7000,1.0,22078000.0,59169.04,0
2017,Haryana,Karnal,Maize,25,72,Diesel,4000,1.0,7200000.0,19296.0,0
2021,Punjab,Amritsar,Maize,35,136,Solar,4000,0.6,11424000.0,0.0,1
2022,Haryana,Rohtak,Paddy,43,98,Diesel,15000,1.0,63210000.0,169402.80000000002,0
2019,Haryana,Hisar,Mustard,20,153,Diesel,4500,1.0,13770000.0,36903.600000000006,0
2019,Haryana,Rohtak,Cotton,38,86,Electric,7000,0.8,18300800.0,27451.199999999997,0
2021,Punjab,Patiala,Sugarcane,43,141,Diesel,18000,1.0,109134000.0,292479.12,0
2017,Punjab,Jalandhar,Sugarcane,8,83,Diesel,18000,1.0,11952000.0,32031.36,0
2021,Punjab,Ludhiana,Sugarcane,47,64,Diesel,18000,1.0,54144000.0,145105.92,0
2017,Haryana,Rohtak,Paddy,46,105,Diesel,15000,1.0,72450000.0,194166.0,0
2022,Haryana,Hisar,Cotton,29,101,Diesel,7000,1.0,20503000.0,54948.04,0
2021,Punjab,Jalandhar,Cotton,41,136,Solar,7000,0.6,23419200.0,0.0,1
2021,Punjab,Jalandhar,Maize,23,109,Diesel,4000,1.0,10028000.0,26875.04,0
2021,Punjab,Patiala,Cotton,37,156,Diesel,7000,1.0,40404000.0,108282.72,0
2021,Punjab,Bathinda,Mustard,7,167,Electric,4500,0.8,4208400.0,6312.599999999999,0
2020,Punjab,Jalandhar,Mustard,11,174,Electric,4500,0.8,6890400.0,10335.599999999999,0
2021,Haryana,Gurgaon,Sugarcane,6,145,Electric,18000,0.8,12528000.0,18792.0,0
2023,Punjab,Jalandhar,Mustard,16,92,Solar,4500,0.6,3974400.0,0.0,1
2021,Haryana,Karnal,Mustard,39,112,Diesel,4500,1.0,19656000.0,52678.08,0
2019,Haryana,Rohtak,Maize,36,90,Diesel,4000,1.0,12960000.0,34732.8,0
2016,Punjab,Patiala,Wheat,11,90,Diesel,5000,1.0,4950000.0,13266.0,0
2016,Haryana,Gurgaon,Cotton,18,130,Solar,7000,0.6,9828000.0,0.0,1
2021,Haryana,Gurgaon,Wheat,29,93,Diesel,5000,1.0,13485000.0,36139.8,0
2023,Haryana,Gurgaon,Sugarcane,43,162,Diesel,18000,1.0,125388000.0,336039.84,0
2019,Haryana,Panipat,Paddy,9,126,Diesel,15000,1.0,17010000.0,45586.8,0
2020,Haryana,Panipat,Wheat,30,175,Solar,5000,0.6,15750000.0,0.0,1
2023,Haryana,Panipat,Mustard,27,102,Electric,4500,0.8,9914400.0,14871.599999999999,0
2021,Haryana,Rohtak,Wheat,29,158,Diesel,5000,1.0,22910000.0,61398.8,0
2016,Haryana,Rohtak,Mustard,12,124,Solar,4500,0.6,4017600.0,0.0,1
2022,Haryana,Rohtak,Wheat,42,170,Diesel,5000,1.0,35700000.0,95676.0,0
2018,Haryana,Hisar,Mustard,39,87,Diesel,4500,1.0,15268500.0,40919.58,0
2023,Haryana,Gurgaon,Paddy,42,148,Solar,15000,0.6,55944000.0,0.0,1
2023,Punjab,Jalandhar,Maize,9,137,Diesel,4000,1.0,4932000.0,13217.76,0
2019,Punjab,Amritsar,Sugarcane,43,148,Solar,18000,0.6,68731200.0,0.0,1
2016,Haryana,Karnal,Paddy,49,104,Diesel,15000,1.0,76440000.0,204859.2,0
2019,Punjab,Amritsar,Cotton,33,149,Solar,7000,0.6,20651400.0,0.0,1
2018,Punjab,Patiala,Paddy,41,67,Diesel,15000,1.0,41205000.0,110429.40000000001,0
2021,Haryana,Karnal,Maize,4,172,Electric,4000,0.8,2201600.0,3302.3999999999996,0
2018,Haryana,Panipat,Cotton,37,175,Electric,7000,0.8,36260000.0,54390.0,0
2016,Punjab,Ludhiana,Cotton,39,91,Electric,7000,0.8,19874400.0,29811.600000000002,0
2018,Haryana,Gurgaon,Maize,6,115,Electric,4000,0.8,2208000.0,3312.0,0
2022,Punjab,Jalandhar,Wheat,32,94,Diesel,5000,1.0,15040000.0,40307.200000000004,0
2021,Punjab,Jalandhar,Paddy,28,122,Solar,15000,0.6,30744000.0,0.0,1
2023,Punjab,Jalandhar,Maize,31,99,Diesel,4000,1.0,12276000.0,32899.68,0
2021,Haryana,Panipat,Cotton,28,122,Electric,7000,0.8,19129600.0,28694.399999999998,0
2021,Punjab,Jalandhar,Cotton,13,139,Diesel,7000,1.0,12649000.0,33899.32,0
2017,Haryana,Gurgaon,Paddy,33,171,Solar,15000,0.6,50787000.0,0.0,1
2019,Haryana,Rohtak,Paddy,13,134,Diesel,15000,1.0,26130000.0,70028.40000000001,0
2020,Haryana,Karnal,Sugarcane,33,154,Diesel,18000,1.0,91476000.0,245155.68000000002,0
2019,Haryana,Karnal,Wheat,49,113,Diesel,5000,1.0,27685000.0,74195.8,0
2021,Punjab,Ludhiana,Cotton,25,84,Diesel,7000,1.0,14700000.0,39396.0,0
2022,Haryana,Karnal,Sugarcane,27,178,Solar,18000,0.6,51904800.0,0.0,1
2019,Haryana,Panipat,Wheat,6,72,Solar,5000,0.6,1296000.0,0.0,1
2023,Haryana,Rohtak,Wheat,44,158,Electric,5000,0.8,27808000.0,41712.0,0
2022,Punjab,Patiala,Cotton,37,135,Solar,7000,0.6,20979000.0,0.0,1
2022,Punjab,Patiala,Paddy,39,120,Electric,15000,0.8,56160000.0,84240.0,0
2020,Haryana,Karnal,Mustard,25,98,Diesel,4500,1.0,11025000.0,29547.0,0
2019,Punjab,Bathinda,Paddy,5,95,Diesel,15000,1.0,7125000.0,19095.0,0
2022,Haryana,Panipat,Cotton,20,130,Solar,7000,0.6,10920000.0,0.0,1
2016,Punjab,Bathinda,Wheat,15,79,Diesel,5000,1.0,5925000.0,15879.000000000002,0
2023,Haryana,Panipat,Wheat,12,156,Electric,5000,0.8,7488000.0,11232.0,0
2019,Punjab,Bathinda,Wheat,30,97,Diesel,5000,1.0,14550000.0,38994.0,0
2018,Haryana,Hisar,Sugarcane,45,158,Electric,18000,0.8,102384000.0,153576.0,0
2017,Haryana,Karnal,Mustard,36,160,Diesel,4500,1.0,25920000.0,69465.6,0
2020,Haryana,Hisar,Sugarcane,27,134,Electric,18000,0.8,52099200.0,78148.79999999999,0
2016,Haryana,Karnal,Cotton,30,137,Diesel,7000,1.0,28770000.0,77103.6,0
2023,Haryana,Panipat,Mustard,35,129,Diesel,4500,1.0,20317500.0,54450.9,0
2016,Punjab,Bathinda,Paddy,29,68,Diesel,15000,1.0,29580000.0,79274.40000000001,0
2016,Punjab,Patiala,Wheat,12,140,Solar,5000,0.6,5040000.0,0.0,1
2016,Punjab,Bathinda,Cotton,45,60,Electric,7000,0.8,15120000.0,22680.0,0
2020,Haryana,Gurgaon,Mustard,4,175,Electric,4500,0.8,2520000.0,3780.0,0
2020,Punjab,Bathinda,Wheat,44,179,Diesel,5000,1.0,39380000.0,105538.40000000001,0
2020,Haryana,Karnal,Sugarcane,15,161,Diesel,18000,1.0,43470000.0,116499.6,0
2023,Haryana,Gurgaon,Maize,23,83,Diesel,4000,1.0,7636000.0,20464.48,0
2016,Punjab,Jalandhar,Wheat,39,129,Electric,5000,0.8,20124000.0,30186.0,0
2021,Punjab,Amritsar,Paddy,22,110,Diesel,15000,1.0,36300000.0,97284.0,0
2017,Haryana,Karnal,Sugarcane,23,79,Electric,18000,0.8,26164800.0,39247.2,0
2018,Haryana,Hisar,Wheat,22,67,Diesel,5000,1.0,7370000.0,19751.600000000002,0
2021,Punjab,Jalandhar,Maize,9,118,Diesel,4000,1.0,4248000.0,11384.640000000001,0
2023,Haryana,Hisar,Mustard,42,60,Solar,4500,0.6,6804000.0,0.0,1
2020,Haryana,Hisar,Paddy,11,86,Solar,15000,0.6,8514000.0,0.0,1
2022,Punjab,Patiala,Wheat,40,159,Diesel,5000,1.0,31800000.0,85224.0,0
2018,Punjab,Bathinda,Wheat,11,115,Electric,5000,0.8,5060000.0,7590.0,0
2022,Haryana,Karnal,Wheat,34,96,Diesel,5000,1.0,16320000.0,43737.600000000006,0
2018,Haryana,Panipat,Maize,3,72,Diesel,4000,1.0,864000.0,2315.52,0
2020,Punjab,Jalandhar,Wheat,37,133,Diesel,5000,1.0,24605000.0,65941.40000000001,0
2021,Punjab,Jalandhar,Wheat,26,141,Solar,5000,0.6,10998000.0,0.0,1
2018,Punjab,Patiala,Mustard,21,95,Electric,4500,0.8,7182000.0,10773.0,0
2018,Haryana,Panipat,Wheat,35,139,Diesel,5000,1.0,24325000.0,65191.00000000001,0
2016,Haryana,Hisar,Mustard,35,76,Diesel,4500,1.0,11970000.0,32079.600000000002,0
2020,Punjab,Bathinda,Maize,21,107,Diesel,4000,1.0,8988000.0,24087.84,0
2023,Haryana,Gurgaon,Maize,3,62,Solar,4000,0.6,446400.0,0.0,1
2023,Punjab,Amritsar,Maize,13,110,Solar,4000,0.6,3432000.0,0.0,1
2021,Haryana,Rohtak,Maize,39,151,Diesel,4000,1.0,23556000.0,63130.08,0
2020,Haryana,Karnal,Cotton,47,161,Electric,7000,0.8,42375200.0,63562.799999999996,0
2023,Haryana,Hisar,Maize,24,68,Electric,4000,0.8,5222400.0,7833.599999999999,0
2019,Punjab,Ludhiana,Wheat,25,79,Electric,5000,0.8,7900000.0,11850.0,0
2019,Punjab,Bathinda,Wheat,41,86,Diesel,5000,1.0,17630000.0,47248.4,0
2017,Punjab,Amritsar,Paddy,26,138,Diesel,15000,1.0,53820000.0,144237.6,0
2017,Punjab,Jalandhar,Mustard,2,85,Diesel,4500,1.0,765000.0,2050.2000000000003,0
2017,Haryana,Gurgaon,Paddy,40,98,Solar,15000,0.6,35280000.0,0.0,1
2022,Haryana,Panipat,Cotton,37,149,Diesel,7000,1.0,38591000.0,103423.88,0
2019,Haryana,Gurgaon,Sugarcane,38,114,Electric,18000,0.8,62380800.0,93571.20000000001,0
2022,Punjab,Patiala,Sugarcane,41,174,Electric,18000,0.8,102729600.0,154094.40000000002,0
2020,Punjab,Bathinda,Sugarcane,48,76,Electric,18000,0.8,52531200.0,78796.79999999999,0
2021,Punjab,Bathinda,Maize,4,140,Diesel,4000,1.0,2240000.0,6003.200000000001,0
2016,Haryana,Rohtak,Paddy,40,80,Electric,15000,0.8,38400000.0,57600.0,0
2020,Punjab,Amritsar,Mustard,24,113,Electric,4500,0.8,9763200.0,14644.800000000001,0
2018,Punjab,Ludhiana,Cotton,29,87,Solar,7000,0.6,10596600.0,0.0,1
2023,Haryana,Karnal,Cotton,34,91,Solar,7000,0.6,12994800.0,0.0,1
2023,Punjab,Jalandhar,Paddy,6,83,Diesel,15000,1.0,7470000.0,20019.600000000002,0
2021,Punjab,Jalandhar,Cotton,39,122,Diesel,7000,1.0,33306000.0,89260.08,0
2016,Haryana,Karnal,Paddy,9,101,Diesel,15000,1.0,13635000.0,36541.8,0
2023,Haryana,Panipat,Cotton,10,174,Electric,7000,0.8,9744000.0,14616.0,0
2023,Punjab,Patiala,Maize,21,166,Electric,4000,0.8,11155200.0,16732.800000000003,0
2022,Punjab,Patiala,Maize,20,111,Electric,4000,0.8,7104000.0,10656.0,0
2018,Punjab,Amritsar,Sugarcane,35,151,Electric,18000,0.8,76104000.0,114156.0,0
2019,Haryana,Rohtak,Paddy,5,100,Electric,15000,0.8,6000000.0,9000.0,0
2020,Haryana,Karnal,Mustard,33,83,Solar,4500,0.6,7395300.0,0.0,1
2021,Punjab,Jalandhar,Cotton,44,115,Diesel,7000,1.0,35420000.0,94925.6,0
2022,Punjab,Patiala,Wheat,29,132,Solar,5000,0.6,11484000.0,0.0,1
2021,Punjab,Ludhiana,Mustard,30,101,Diesel,4500,1.0,13635000.0,36541.8,0
2020,Haryana,Karnal,Maize,48,94,Electric,4000,0.8,14438400.0,21657.6,0
2023,Haryana,Gurgaon,Cotton,40,84,Electric,7000,0.8,18816000.0,28224.0,0
2020,Haryana,Panipat,Sugarcane,8,79,Electric,18000,0.8,9100800.0,13651.199999999999,0
2019,Punjab,Ludhiana,Mustard,28,120,Electric,4500,0.8,12096000.0,18144.0,0
2023,Haryana,Gurgaon,Sugarcane,44,93,Diesel,18000,1.0,73656000.0,197398.08000000002,0
2021,Punjab,Ludhiana,Cotton,27,165,Electric,7000,0.8,24948000.0,37422.0,0
2023,Punjab,Bathinda,Sugarcane,15,91,Diesel,18000,1.0,24570000.0,65847.6,0
2021,Haryana,Karnal,Paddy,45,176,Electric,15000,0.8,95040000.0,142560.0,0
2019,Punjab,Jalandhar,Maize,15,153,Solar,4000,0.6,5508000.0,0.0,1
2020,Punjab,Amritsar,Cotton,7,101,Diesel,7000,1.0,4949000.0,13263.320000000002,0
2022,Punjab,Bathinda,Sugarcane,9,155,Diesel,18000,1.0,25110000.0,67294.8,0
2016,Haryana,Hisar,Mustard,26,135,Electric,4500,0.8,12636000.0,18954.0,0
2021,Punjab,Amritsar,Sugarcane,17,137,Electric,18000,0.8,33537600.0,50306.399999999994,0
2017,Haryana,Hisar,Wheat,13,126,Electric,5000,0.8,6552000.0,9828.0,0
2018,Punjab,Bathinda,Paddy,46,138,Diesel,15000,1.0,95220000.0,255189.6,0
2016,Haryana,Hisar,Maize,43,76,Diesel,4000,1.0,13072000.0,35032.96,0
2021,Punjab,Bathinda,Maize,43,69,Solar,4000,0.6,7120800.0,0.0,1
2017,Haryana,Rohtak,Sugarcane,3,63,Diesel,18000,1.0,3402000.0,9117.36,0
2020,Haryana,Gurgaon,Mustard,47,169,Diesel,4500,1.0,35743500.0,95792.58,0
2023,Haryana,Hisar,Mustard,12,77,Diesel,4500,1.0,4158000.0,11143.44,0
2023,Punjab,Patiala,Paddy,18,75,Diesel,15000,1.0,20250000.0,54270.0,0
2020,Punjab,Bathinda,Sugarcane,14,160,Diesel,18000,1.0,40320000.0,108057.6,0
2019,Haryana,Rohtak,Wheat,5,84,Solar,5000,0.6,1260000.0,0.0,1
2018,Punjab,Bathinda,Cotton,14,98,Electric,7000,0.8,7683200.0,11524.8,0
2023,Punjab,Amritsar,Sugarcane,30,98,Diesel,18000,1.0,52920000.0,141825.6,0
2017,Punjab,Ludhiana,Wheat,36,159,Diesel,5000,1.0,28620000.0,76701.6,0
2023,Haryana,Rohtak,Cotton,21,86,Electric,7000,0.8,10113600.0,15170.400000000001,0
2021,Haryana,Panipat,Sugarcane,12,99,Diesel,18000,1.0,21384000.0,57309.12,0
2022,Haryana,Panipat,Mustard,12,102,Diesel,4500,1.0,5508000.0,14761.44,0
2020,Punjab,Patiala,Cotton,40,108,Diesel,7000,1.0,30240000.0,81043.20000000001,0
2019,Haryana,Rohtak,Maize,6,95,Electric,4000,0.8,1824000.0,2736.0,0
2021,Punjab,Jalandhar,Sugarcane,9,98,Diesel,18000,1.0,15876000.0,42547.68,0
2022,Punjab,Amritsar,Maize,24,173,Solar,4000,0.6,9964800.0,0.0,1
2016,Haryana,Karnal,Wheat,46,70,Electric,5000,0.8,12880000.0,19320.0,0
2021,Punjab,Patiala,Sugarcane,43,101,Solar,18000,0.6,46904400.0,0.0,1
2018,Haryana,Hisar,Sugarcane,17,99,Solar,18000,0.6,18176400.0,0.0,1
2023,Punjab,Jalandhar,Wheat,20,130,Diesel,5000,1.0,13000000.0,34840.0,0
2021,Haryana,Gurgaon,Paddy,47,66,Diesel,15000,1.0,46530000.0,124700.40000000001,0
2022,Punjab,Ludhiana,Maize,39,99,Diesel,4000,1.0,15444000.0,41389.920000000006,0
2023,Haryana,Hisar,Cotton,36,70,Diesel,7000,1.0,17640000.0,47275.200000000004,0
2023,Punjab,Amritsar,Paddy,12,162,Diesel,15000,1.0,29160000.0,78148.8,0
2022,Punjab,Bathinda,Wheat,36,152,Diesel,5000,1.0,27360000.0,73324.8,0
2016,Haryana,Gurgaon,Maize,16,65,Diesel,4000,1.0,4160000.0,11148.800000000001,0
2021,Haryana,Gurgaon,Paddy,29,66,Diesel,15000,1.0,28710000.0,76942.8,0
2016,Haryana,Panipat,Cotton,25,139,Electric,7000,0.8,19460000.0,29190.0,0
2020,Punjab,Bathinda,Paddy,45,135,Diesel,15000,1.0,91125000.0,244215.00000000003,0
2018,Haryana,Karnal,Cotton,32,92,Solar,7000,0.6,12364800.0,0.0,1
2018,Haryana,Gurgaon,Wheat,40,150,Diesel,5000,1.0,30000000.0,80400.0,0
2022,Punjab,Ludhiana,Wheat,11,145,Diesel,5000,1.0,7975000.0,21373.0,0
2018,Punjab,Bathinda,Mustard,10,139,Electric,4500,0.8,5004000.0,7506.0,0
2020,Punjab,Bathinda,Wheat,7,124,Electric,5000,0.8,3472000.0,5208.0,0
2016,Punjab,Jalandhar,Wheat,7,157,Solar,5000,0.6,3297000.0,0.0,1
2017,Haryana,Rohtak,Maize,30,165,Electric,4000,0.8,15840000.0,23760.0,0
2019,Punjab,Amritsar,Wheat,13,145,Diesel,5000,1.0,9425000.0,25259.0,0
2019,Punjab,Patiala,Maize,16,75,Diesel,4000,1.0,4800000.0,12864.0,0
2021,Haryana,Panipat,Mustard,20,62,Diesel,4500,1.0,5580000.0,14954.400000000001,0
2021,Haryana,Karnal,Wheat,38,123,Diesel,5000,1.0,23370000.0,62631.600000000006,0
2018,Haryana,Karnal,Cotton,44,106,Diesel,7000,1.0,32648000.0,87496.64,0
2017,Punjab,Jalandhar,Cotton,43,144,Diesel,7000,1.0,43344000.0,116161.92000000001,0
2016,Punjab,Patiala,Maize,42,174,Diesel,4000,1.0,29232000.0,78341.76000000001,0
2019,Punjab,Jalandhar,Sugarcane,33,143,Diesel,18000,1.0,84942000.0,227644.56000000003,0
2017,Punjab,Ludhiana,Wheat,16,121,Diesel,5000,1.0,9680000.0,25942.4,0
2022,Haryana,Hisar,Wheat,16,93,Diesel,5000,1.0,7440000.0,19939.2,0
2023,Haryana,Hisar,Sugarcane,47,167,Electric,18000,0.8,113025600.0,169538.40000000002,0
2018,Haryana,Hisar,Sugarcane,29,113,Diesel,18000,1.0,58986000.0,158082.48,0
2017,Haryana,Karnal,Wheat,8,96,Electric,5000,0.8,3072000.0,4608.0,0
2022,Punjab,Jalandhar,Paddy,6,137,Diesel,15000,1.0,12330000.0,33044.4,0
2016,Punjab,Jalandhar,Maize,48,71,Diesel,4000,1.0,13632000.0,36533.76,0
